Share Names,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,Deliverable Qty,% Dly Qt to Traded Qty
Share1,23-Dec-15,1050,1380,1413.7,1356.2,1381,1381.7,1382.37,10984341,15184370486,3797088,34.57
Share1,24-Dec-15,1381.7,1388,1543.95,1385,1538.8,1523.75,1466.24,5450848,7992239109,987745,18.12
Share1,28-Dec-15,1523.75,1532.7,1540.5,1434.1,1465.05,1468.4,1471.37,2046162,3010662779,568090,27.76
Share1,29-Dec-15,1468.4,1469.85,1493,1434,1468,1465.55,1468.36,1333944,1958715339,262983,19.71
Share1,30-Dec-15,1465.55,1478,1489.9,1444,1452.9,1458.25,1468.03,622721,914170021.9,166155,26.68
Share1,31-Dec-15,1458.25,1460,1496.6,1442.5,1494.9,1485.25,1468.07,774495,1137013702,234945,30.34
Share1,1-Jan-16,1485.25,1495,1519,1480,1503,1503.1,1502.58,508347,763831059.3,136269,26.81
Share1,4-Jan-16,1503.1,1499.9,1580,1485,1526,1530.15,1543.59,1350429,2084510789,213546,15.81
Share1,5-Jan-16,1530.15,1538,1588.9,1533.6,1561.1,1567.7,1561.07,658233,1027547098,109241,16.6
Share1,6-Jan-16,1567.7,1556,1582,1518,1526.9,1527,1557.64,594918,926670292.9,126766,21.31
Share1,7-Jan-16,1527,1504,1514.9,1458.45,1468,1467.35,1482.43,349010,517383081.2,113968,32.65
Share1,8-Jan-16,1467.35,1480,1503.9,1470,1475.25,1477.2,1487.34,190247,282962528.6,47544,24.99
Share1,11-Jan-16,1477.2,1463.4,1484.8,1449.75,1480.5,1475.7,1469.91,187799,276046935.7,52127,27.76
Share1,12-Jan-16,1475.7,1481,1492,1465,1467.15,1474.3,1476.62,143904,212491405.9,44499,30.92
Share1,13-Jan-16,1474.3,1478,1488.65,1364,1408.6,1415.75,1418.7,353619,501680916.7,126117,35.66
Share1,14-Jan-16,1415.75,1397,1463,1370,1436.55,1435.8,1425.39,395952,564384509.5,132082,33.36
